yyyy-mm-dd hh:mm:ss,DELTA_ENERGY,GRID_ENERGY,CHARGE_LEVEL
2020-06-03 03:30:00,-37.800000000000004,0.0,13669.89
2020-06-03 03:45:00,-35.7,0.0,13634.189999999999
2020-06-03 04:00:00,-44.1,0.0,13590.089999999998
2020-06-03 04:15:00,-56.7,0.0,13533.389999999998
2020-06-03 04:30:00,-61.95,0.0,13471.439999999997
2020-06-03 04:45:00,-44.550000000000004,0.0,13426.889999999998
2020-06-03 05:00:00,-46.74000000000001,0.0,13380.149999999998
2020-06-03 05:15:00,-35.88,0.0,13344.269999999999
2020-06-03 05:30:00,-9.990000000000009,0.0,13334.279999999999
2020-06-03 05:45:00,-36.000000000000014,0.0,13298.279999999999
2020-06-03 06:00:00,-24.57000000000002,0.0,13273.71
2020-06-03 06:15:00,14.909999999999997,0.0,13288.619999999999
2020-06-03 06:30:00,22.859999999999985,0.0,13311.48
2020-06-03 06:45:00,53.66999999999996,0.0,13365.15
2020-06-03 07:00:00,84.20999999999998,0.0,13449.359999999999
2020-06-03 07:15:00,107.69999999999996,0.0,13557.06
2020-06-03 07:30:00,0.14999999999997726,0.0,13557.21
2020-06-03 07:45:00,139.98,0.0,13697.189999999999
2020-06-03 08:00:00,157.2,0.0,13854.39
2020-06-03 08:15:00,23.730000000000018,0.0,13878.119999999999
2020-06-03 08:30:00,95.93999999999994,0.0,13974.06
2020-06-03 08:45:00,241.17,0.0,14215.23
2020-06-03 09:00:00,295.79999999999995,0.0,14511.029999999999
2020-06-03 09:15:00,360.98999999999995,0.0,14872.019999999999
2020-06-03 09:30:00,334.3499999999999,-127.98000000000138,15000.0
2020-06-03 09:45:00,371.61,0.0,15000.0
2020-06-03 10:00:00,384.17999999999995,0.0,15000.0
2020-06-03 10:15:00,421.4399999999998,0.0,15000.0
2020-06-03 10:30:00,424.61999999999995,0.0,15000.0
2020-06-03 10:45:00,439.79999999999995,0.0,15000.0
2020-06-03 11:00:00,459.84,0.0,15000.0
2020-06-03 11:15:00,513.6899999999999,0.0,15000.0
2020-06-03 11:30:00,507.9299999999998,0.0,15000.0
2020-06-03 11:45:00,483.75,0.0,15000.0
2020-06-03 12:00:00,516.6299999999999,0.0,15000.0
2020-06-03 12:15:00,519.1499999999999,0.0,15000.0
2020-06-03 12:30:00,547.8299999999999,0.0,15000.0
2020-06-03 12:45:00,536.46,0.0,15000.0
2020-06-03 13:00:00,500.27999999999986,0.0,15000.0
2020-06-03 13:15:00,388.28999999999996,0.0,15000.0
2020-06-03 13:30:00,447.84,0.0,15000.0
2020-06-03 13:45:00,449.84999999999985,0.0,15000.0
2020-06-03 14:00:00,473.93999999999994,0.0,15000.0
2020-06-03 14:15:00,528.3899999999999,0.0,15000.0
2020-06-03 14:30:00,483.81000000000006,0.0,15000.0
